"","nlc2022_7class","T_MAPCODE","PROVINCE","n"
"660","2","FFd1","Eastern Cape",0
"661","3","FFd1","Eastern Cape",0
"662","4","FFd1","Eastern Cape",0
"663","5","FFd1","Eastern Cape",0
"664","6","FFd1","Eastern Cape",0
"665","7","FFd1","Eastern Cape",0
"666","1","FFd10","Eastern Cape",0
"667","2","FFd10","Eastern Cape",0
"668","3","FFd10","Eastern Cape",0
"669","4","FFd10","Eastern Cape",0
"670","5","FFd10","Eastern Cape",0
"671","6","FFd10","Eastern Cape",0
"672","7","FFd10","Eastern Cape",0
"673","1","FFd11","Eastern Cape",146877
"674","2","FFd11","Eastern Cape",2768
"675","3","FFd11","Eastern Cape",167
"676","4","FFd11","Eastern Cape",927
"677","5","FFd11","Eastern Cape",30091
"678","6","FFd11","Eastern Cape",605
"679","7","FFd11","Eastern Cape",0
"680","1","FFd2","Eastern Cape",0
"681","2","FFd2","Eastern Cape",0
"682","3","FFd2","Eastern Cape",0
"683","4","FFd2","Eastern Cape",0
"684","5","FFd2","Eastern Cape",0
"685","6","FFd2","Eastern Cape",0
"686","7","FFd2","Eastern Cape",0
"687","1","FFd3","Eastern Cape",0
"688","2","FFd3","Eastern Cape",0
"689","3","FFd3","Eastern Cape",0
"690","4","FFd3","Eastern Cape",0
"691","5","FFd3","Eastern Cape",0
"692","6","FFd3","Eastern Cape",0
"693","7","FFd3","Eastern Cape",0
"694","1","FFd4","Eastern Cape",0
