"","nlc2022_7class","T_MAPCODE","coct_cond10","n"
"13146","7","AT24","99",3461
"13147","1","AT25","99",5273159
"13148","2","AT25","99",22028
"13149","3","AT25","99",3687
"13150","4","AT25","99",15701
"13151","5","AT25","99",7728
"13152","6","AT25","99",253
"13153","7","AT25","99",0
"13154","1","AT26","99",75668
"13155","2","AT26","99",5578
"13156","3","AT26","99",301
"13157","4","AT26","99",714
"13158","5","AT26","99",18822
"13159","6","AT26","99",0
"13160","7","AT26","99",0
"13161","1","AT27","99",3077059
"13162","2","AT27","99",8774
"13163","3","AT27","99",703
"13164","4","AT27","99",5892
"13165","5","AT27","99",6335
"13166","6","AT27","99",928
"13167","7","AT27","99",2
"13168","1","AT28","99",2270166
"13169","2","AT28","99",148258
"13170","3","AT28","99",2628
"13171","4","AT28","99",60716
"13172","5","AT28","99",89860
"13173","6","AT28","99",67
"13174","7","AT28","99",4553
"13175","1","AT29","99",1920048
"13176","2","AT29","99",14546
"13177","3","AT29","99",1690
"13178","4","AT29","99",13726
"13179","5","AT29","99",10596
"13180","6","AT29","99",947
"13181","7","AT29","99",0
"13182","1","AT30","99",1563478
"13183","2","AT30","99",27397
"13184","3","AT30","99",5851
"13185","4","AT30","99",21224
"13186","5","AT30","99",67025
"13187","6","AT30","99",44
"13188","7","AT30","99",22
"13189","1","AT31","99",525526
"13190","2","AT31","99",55334
"13191","3","AT31","99",94
"13192","4","AT31","99",4040
"13193","5","AT31","99",16494
"13194","6","AT31","99",0
"13195","7","AT31","99",598
"13196","1","AT32","99",8626712
"13197","2","AT32","99",112113
"13198","3","AT32","99",15247
"13199","4","AT32","99",64762
"13200","5","AT32","99",165040
"13201","6","AT32","99",251
"13202","7","AT32","99",6418
"13203","1","AT33","99",1210464
"13204","2","AT33","99",7017
"13205","3","AT33","99",2420
"13206","4","AT33","99",1963
"13207","5","AT33","99",7781
"13208","6","AT33","99",15
"13209","7","AT33","99",13
"13210","1","AT34","99",404084
"13211","2","AT34","99",4203
"13212","3","AT34","99",400
"13213","4","AT34","99",1027
"13214","5","AT34","99",8905
"13215","6","AT34","99",140
"13216","7","AT34","99",42
"13217","1","AT35","99",45977
"13218","2","AT35","99",10910
"13219","3","AT35","99",0
"13220","4","AT35","99",471
"13221","5","AT35","99",18008
"13222","6","AT35","99",0
"13223","7","AT35","99",0
"13224","1","AT36","99",74723
"13225","2","AT36","99",9526
"13226","3","AT36","99",8
"13227","4","AT36","99",13647
"13228","5","AT36","99",5269
"13229","6","AT36","99",254
"13230","7","AT36","99",25118
"13231","1","AT37","99",265778
"13232","2","AT37","99",41931
"13233","3","AT37","99",159
"13234","4","AT37","99",3834
"13235","5","AT37","99",129686
"13236","6","AT37","99",180
"13237","7","AT37","99",131
"13238","1","AT38","99",2124494
"13239","2","AT38","99",254917
"13240","3","AT38","99",1947
"13241","4","AT38","99",61737
"13242","5","AT38","99",733080
"13243","6","AT38","99",2077
"13244","7","AT38","99",48694
"13245","1","AT39","99",542387
"13246","2","AT39","99",23611
"13247","3","AT39","99",84
"13248","4","AT39","99",24870
"13249","5","AT39","99",20407
"13250","6","AT39","99",3270
"13251","7","AT39","99",0
"13252","1","AT40","99",1158103
"13253","2","AT40","99",118895
"13254","3","AT40","99",327
"13255","4","AT40","99",101884
"13256","5","AT40","99",109357
"13257","6","AT40","99",541
"13258","7","AT40","99",1577
"13259","1","AT41","99",521003
"13260","2","AT41","99",43242
"13261","3","AT41","99",263
"13262","4","AT41","99",36152
"13263","5","AT41","99",157161
"13264","6","AT41","99",367
"13265","7","AT41","99",10623
"13266","1","AT42","99",129340
"13267","2","AT42","99",10287
"13268","3","AT42","99",66
"13269","4","AT42","99",1452
"13270","5","AT42","99",8437
"13271","6","AT42","99",14
"13272","7","AT42","99",23
"13273","1","AT43","99",664333
"13274","2","AT43","99",21939
"13275","3","AT43","99",2191
"13276","4","AT43","99",5730
"13277","5","AT43","99",21148
"13278","6","AT43","99",23
"13279","7","AT43","99",98
"13280","1","AT44","99",158032
"13281","2","AT44","99",49976
"13282","3","AT44","99",265
"13283","4","AT44","99",182877
"13284","5","AT44","99",16369
"13285","6","AT44","99",935
"13286","7","AT44","99",156
"13287","1","AT45","99",1075866
"13288","2","AT45","99",198721
"13289","3","AT45","99",941
"13290","4","AT45","99",16912
"13291","5","AT45","99",448456
"13292","6","AT45","99",154
"13293","7","AT45","99",1546
"13294","1","AT46","99",1380529
"13295","2","AT46","99",16108
"13296","3","AT46","99",3332
"13297","4","AT46","99",10172
"13298","5","AT46","99",19187
"13299","6","AT46","99",435
"13300","7","AT46","99",58
"13301","1","AT47","99",2215239
"13302","2","AT47","99",22640
"13303","3","AT47","99",2477
"13304","4","AT47","99",14640
"13305","5","AT47","99",21184
"13306","6","AT47","99",187
"13307","7","AT47","99",0
"13308","1","AT48","99",29187
"13309","2","AT48","99",1884
