"","T_MAPCODE","deg80","nat","notnat","prcdeg_lk","D3_lk","ext_lk"
"400","SVcb8",0,843.144,990.2044,0,"LC",0
"401","SVcb9",0,2591.9076,512.5184,0,"LC",0
"402","SVk1",0,12002.0948,3429.11,0,"LC",0
"403","SVk10",0,5539.6656,299.3744,0,"LC",0
"404","SVk11",0,13624.3188,272.7756,0,"LC",0
"405","SVk12",0,7252.7424,199.872,0,"LC",0
"406","SVk13",0,8409.256,108.426,0,"LC",0
"407","SVk14",0,880.8828,48.3396,0,"LC",0
"408","SVk15",0,1617.2516,3.624,0,"LC",0
"409","SVk16",0,7905.7928,12.822,0,"LC",0
"410","SVk17",0,3749.694,3483.1888,0,"LC",0
"411","SVk18",0,953.0268,46.5636,0,"LC",0
"412","SVk2",0,3227.4376,979.1416,0,"LC",0
"413","SVk3",0,576.2128,790.7108,0,"LC",0
"414","SVk4",0,12455.6436,4194.1464,0,"LC",0
"415","SVk5",0,1418.4072,39.4976,0,"LC",0
"416","SVk6",0,4220.5688,1093.3504,0,"LC",0
"417","SVk7",0,13112.6504,247.8956,0,"LC",0
"418","SVk8",0,3235.8176,127.736,0,"LC",0
"419","SVk9",0,5504.1196,275.3712,0,"LC",0
"420","SVkd1",0,37004.5808,62.23,0,"LC",0
"421","SVkd2",0,2239.4828,2.8596,0,"LC",0
"422","SVkd3",0,2898.1004,0.4872,0,"LC",0
"423","SVkd4",0,762.2668,0.2156,0,"LC",0
"424","SVl1",0,1579.9196,510.7536,0,"LC",0
"425","SVl10",0,615.11,327.676,0,"LC",0
"426","SVl11",0,596.6424,33.96,0,"LC",0
"427","SVl12",0,368.3192,100.076,0,"LC",0
"428","SVl13",0,72.184,37.3176,0,"LC",0
"429","SVl14",0,3420.8964,1039.3956,0,"LC",0
"430","SVl15",0,1343.9868,2.0668,0,"LC",0
"431","SVl16",0,2251.89,333.2644,0,"LC",0
"432","SVl17",0,42.6596,92.086,0,"LC",0
"433","SVl18",0,865.2164,259.2228,0,"LC",0
"434","SVl19",0,80.7912,72.1632,0,"LC",0
"435","SVl2",0,183.8788,0.0252,0,"LC",0
"436","SVl20",0,649.0496,996.0464,0,"LC",0
"437","SVl21",0,268.3384,66.7604,0,"LC",0
"438","SVl22",0,3681.6932,1492.012,0,"LC",0
"439","SVl23",0,5704.1224,2860.6064,0,"LC",0
"440","SVl24",0,182.1336,512.4832,0,"LC",0
"441","SVl25",0,473.0136,187.6444,0,"LC",0
"442","SVl26",0,510.4072,193.1912,0,"LC",0
"443","SVl27",0,426.534,113.3496,0,"LC",0
"444","SVl3",0,14882.6964,4956.4268,0,"LC",0
"445","SVl4",0,1968.19,753.9192,0,"LC",0
"446","SVl5",0,2975.3276,594.9068,0,"LC",0
"447","SVl6",0,757.6808,2.5676,0,"LC",0
"448","SVl7",0,286.2144,37.3036,0,"LC",0
"449","SVl8",0,1748.676,1650.8256,0,"LC",0
"450","SVl9",0,1115.4948,2447.0172,0,"LC",0
"451","SVmp1",0,8133.1276,664.2104,0,"LC",0
"452","SVmp2",0,2718.234,67.4744,0,"LC",0
"453","SVmp3",0,276.862,0.1808,0,"LC",0
"454","SVmp4",0,2800.236,5.1572,0,"LC",0
"455","SVmp5",0,4722.2952,594.7916,0,"LC",0
"456","SVmp6",0,2431.404,722.6796,0,"LC",0
"457","SVmp7",0,2027.5484,197.984,0,"LC",0
"458","SVmp8",0,310.3108,0.1576,0,"LC",0
"459","SVs1",0,1972.3316,734.1904,0,"LC",0
"460","SVs2",0,1631.5884,584.0628,0,"LC",0
"461","SVs3",0,1013.9676,519.4752,0,"LC",0
"462","SVs4",0,325.8,477.3016,0,"LC",0
"463","SVs5",0,250.9584,1561.6736,0,"LC",0
"464","SVs6",0,7039.0488,3146.5196,0,"LC",0
"465","SVs7",0,4781.982,2980.212,0,"LC",0
"466","SVs8",0,848.7176,679.0848,0,"LC",0
