"","nlc2022_7class","T_MAPCODE","littlekaroo_deg2","easternlittlekaroo_deg2","n"
"824","5","FFh4","0","0",0
"825","6","FFh4","0","0",0
"826","7","FFh4","0","0",0
"827","1","FFh5","0","0",0
"828","2","FFh5","0","0",0
"829","3","FFh5","0","0",0
"830","4","FFh5","0","0",0
"831","5","FFh5","0","0",0
"832","6","FFh5","0","0",0
"833","7","FFh5","0","0",0
"834","1","FFh6","0","0",0
"835","2","FFh6","0","0",0
"836","3","FFh6","0","0",0
"837","4","FFh6","0","0",0
"838","5","FFh6","0","0",0
"839","6","FFh6","0","0",0
"840","7","FFh6","0","0",0
"841","1","FFh7","0","0",0
"842","2","FFh7","0","0",0
"843","3","FFh7","0","0",0
"844","4","FFh7","0","0",0
"845","5","FFh7","0","0",0
"846","6","FFh7","0","0",0
"847","7","FFh7","0","0",0
"848","1","FFh8","0","0",0
"849","2","FFh8","0","0",0
"850","3","FFh8","0","0",0
"851","4","FFh8","0","0",0
"852","5","FFh8","0","0",0
"853","6","FFh8","0","0",0
"854","7","FFh8","0","0",0
"855","1","FFh9","0","0",0
"856","2","FFh9","0","0",0
"857","3","FFh9","0","0",0
"858","4","FFh9","0","0",0
"859","5","FFh9","0","0",0
"860","6","FFh9","0","0",0
"861","7","FFh9","0","0",0
"862","1","FFl1","0","0",0
"863","2","FFl1","0","0",0
"864","3","FFl1","0","0",0
"865","4","FFl1","0","0",0
"866","5","FFl1","0","0",0
"867","6","FFl1","0","0",0
"868","7","FFl1","0","0",0
"869","1","FFl2","0","0",0
"870","2","FFl2","0","0",0
"871","3","FFl2","0","0",0
"872","4","FFl2","0","0",0
"873","5","FFl2","0","0",0
"874","6","FFl2","0","0",0
"875","7","FFl2","0","0",0
